ds,y
9/1/2016,66.84
10/1/2016,163.8013826
11/1/2016,160.0339041
12/1/2016,160.76
1/1/2017,169.7071108
2/1/2017,152.7556298
3/1/2017,155.7764401
4/1/2017,170.7121656
5/1/2017,158.7600146
6/1/2017,151.1616316
7/1/2017,143.8320323
8/1/2017,150.4276313
9/1/2017,168.7758384
10/1/2017,163.2104446
11/1/2017,171.1036703
12/1/2017,151.4059234
1/1/2018,155.0418423
2/1/2018,150.2902647
3/1/2018,161.1333532
4/1/2018,166.1511136
5/1/2018,171.9677507
6/1/2018,162.6513596
7/1/2018,165.9437697
8/1/2018,155.8867665
